,real,predict
0,0.183481933,0
1,0.18467314,0
2,0.187506768,0
3,0.188788218,0.158834398
4,0.187290185,0.160179734
5,0.186893116,0.160807461
6,0.186604339,0.160610199
7,0.187813594,0.160082608
8,0.1877414,0.160215646
9,0.187272137,0.160450608
10,0.187145796,0.160596848
11,0.185810201,0.160423815
12,0.186369707,0.159946978
13,0.186676533,0.15970394
14,0.18786774,0.159617007
15,0.187254088,0.160125941
16,0.187597011,0.160359919
17,0.193029636,0.160561472
18,0.190972097,0.161872387
19,0.188012129,0.162886858
20,0.185810201,0.162870675
21,0.185611667,0.161042184
22,0.184402411,0.159716755
23,0.182597553,0.158851027
24,0.181659026,0.158039331
25,0.179836119,0.157055408
26,0.17918637,0.155947447
27,0.179619536,0.155100256
28,0.18007075,0.154621661
29,0.179132224,0.154695541
30,0.178825398,0.15468213
31,0.178681009,0.154467553
32,0.178861495,0.154139489
33,0.179023932,0.154076338
34,0.178861495,0.154129475
35,0.1781576,0.154172957
36,0.178608815,0.153996795
37,0.178247843,0.153888166
38,0.177002491,0.153756708
39,0.177237122,0.1534639
40,0.176966394,0.153118849
41,0.17906003,0.152831644
42,0.17943905,0.153322279
43,0.179222467,0.153891742
44,0.182326824,0.154413283
45,0.179583439,0.155201465
46,0.181532686,0.155285954
47,0.179078078,0.155761749
48,0.179294661,0.155039161
49,0.177977114,0.154901505
50,0.181514637,0.154076844
51,0.182001949,0.154647678
52,0.180828791,0.155382156
53,0.179493196,0.156031817
54,0.179998556,0.155511141
55,0.179763924,0.155020207
56,0.18007075,0.154788762
57,0.179781973,0.154918283
58,0.17994441,0.15487361
59,0.179547341,0.154908597
60,0.178681009,0.154787779
61,0.178771252,0.154510856
62,0.180034653,0.154218674
63,0.179529293,0.154352367
64,0.178861495,0.154576212
65,0.177941017,0.154570699
66,0.172562538,0.154058993
67,0.170089882,0.152367979
68,0.170198173,0.150197685
69,0.169548424,0.148402393
70,0.165848464,0.147728771
71,0.168032343,0.14671874
72,0.166101144,0.146167576
73,0.166498213,0.14544782
74,0.165216764,0.145539403
75,0.166010901,0.14491713
76,0.165144569,0.144872129
77,0.164891889,0.144587576
78,0.167057719,0.144487798
79,0.16564993,0.14474079
80,0.166642602,0.144892693
81,0.166967476,0.145248383
82,0.166985525,0.145262599
83,0.168393315,0.145564139
84,0.168826481,0.145969033
85,0.169079161,0.146424562
86,0.16922355,0.146901309
87,0.169422084,0.147093683
88,0.169494279,0.147232145
89,0.169277696,0.147330642
90,0.167292351,0.1473414
91,0.168934772,0.146835774
92,0.168862578,0.146679312
93,0.16819478,0.146635205
94,0.169205501,0.14682138
95,0.172616684,0.146876603
96,0.163664585,0.14778617
97,0.163520196,0.146752059
98,0.162437281,0.145242304
99,0.162166552,0.143012017
100,0.160036819,0.142653704
101,0.160415839,0.141865373
102,0.162076309,0.141376555
103,0.162599718,0.141392469
104,0.16232899,0.141997337
105,0.162527524,0.142419755
106,0.162744107,0.142511994
107,0.161408512,0.142552048
108,0.161931921,0.142340392
109,0.161588998,0.142181665
110,0.160867054,0.141943425
111,0.161498755,0.141806751
112,0.160686568,0.141702414
113,0.16142656,0.141515136
114,0.162924593,0.141622663
115,0.163429953,0.141971886
116,0.159188536,0.142612576
117,0.158087572,0.142082781
118,0.155867596,0.140909076
119,0.157239288,0.138256907
120,0.159802187,0.137473762
121,0.161859726,0.138221741
122,0.164946035,0.140594006
123,0.166480165,0.142351806
124,0.166245533,0.143906176
125,0.169187453,0.14490056
126,0.168609898,0.145864546
127,0.167581128,0.146408916
128,0.166750893,0.146669745
129,0.167887954,0.146092206
130,0.166841136,0.145926863
131,0.165343104,0.145782351
132,0.165631881,0.145421296
133,0.165884561,0.144889772
134,0.166209436,0.144693643
135,0.165722124,0.144894511
136,0.166444067,0.144916356
137,0.165848464,0.145034999
138,0.168700141,0.144968331
139,0.164151897,0.145644128
140,0.163502148,0.145158201
141,0.166317727,0.144504935
142,0.166137241,0.144010633
143,0.164675306,0.144520998
144,0.161841678,0.144749135
145,0.16449482,0.143692285
146,0.165307006,0.143294364
147,0.163411905,0.143519849
148,0.165036278,0.143855184
149,0.165433347,0.143941909
150,0.16449482,0.144022316
151,0.162166552,0.144254953
152,0.162184601,0.143570781
153,0.162310941,0.142801791
154,0.162780204,0.142333686
155,0.162924593,0.14247641
156,0.162780204,0.142651379
157,0.163935314,0.142754614
158,0.163899217,0.143016756
159,0.163718731,0.143260062
160,0.163285565,0.14345935
161,0.162563621,0.143307239
162,0.160596325,0.142995447
163,0.163195322,0.142272741
164,0.1609212,0.14223519
165,0.159549507,0.141923308
166,0.157546114,0.141613364
167,0.161913872,0.140154988
168,0.162599718,0.140528679
169,0.162365087,0.14134258
170,0.160686568,0.142393053
171,0.158574884,0.142097592
172,0.157870989,0.14115572
173,0.156643685,0.139790177
174,0.157419774,0.138244838
175,0.157022705,0.137783676
176,0.156986608,0.137501448
177,0.156878316,0.137607157
178,0.157329531,0.137405932
179,0.156788073,0.137522846
180,0.157275385,0.137459189
181,0.157130997,0.137589663
182,0.156499296,0.137536734
183,0.156733928,0.137410492
184,0.156751976,0.137189567
185,0.157203191,0.137063086
186,0.157618308,0.137330174
187,0.158899758,0.137682617
188,0.15593979,0.13851577
189,0.156084179,0.138045937
190,0.157022705,0.137352377
191,0.153160308,0.136698723
192,0.152691044,0.135650128
193,0.152889579,0.13424474
194,0.154730535,0.132756233
195,0.151572032,0.133363754
196,0.150200339,0.132979393
197,0.15159008,0.13185519
198,0.154207126,0.130720079
199,0.151229109,0.131765902
200,0.151662275,0.132181168
201,0.152185684,0.132082105
202,0.151770566,0.131400496
203,0.154189077,0.131605446
204,0.155651013,0.132532388
205,0.156517345,0.133906335
206,0.157528066,0.135695249
207,0.156950511,0.13696593
208,0.156733928,0.137472093
209,0.158159766,0.137519121
210,0.160054868,0.137771785
211,0.163249468,0.139017612
212,0.163610439,0.141171485
213,0.162148504,0.142437994
214,0.166227484,0.142877847
215,0.164927986,0.143539906
216,0.165956756,0.143924087
217,0.168736238,0.144729197
218,0.16653431,0.145348012
219,0.168537703,0.145747215
220,0.169133307,0.14627853
221,0.168736238,0.146433473
222,0.169079161,0.146928906
223,0.168591849,0.147041649
224,0.167635274,0.146925151
225,0.167960149,0.146654159
226,0.16768942,0.146385163
227,0.167418691,0.14619267
228,0.165956756,0.146133125
229,0.166606505,0.145664483
230,0.167220157,0.145394742
231,0.168808432,0.145379603
232,0.171587915,0.146045417
233,0.170829874,0.147229016
234,0.173934231,0.1480968
235,0.172652781,0.149259359
236,0.17407862,0.149569213
237,0.176100061,0.150278151
238,0.175414215,0.150837123
239,0.170306465,0.151507109
240,0.170342562,0.150560945
241,0.170667437,0.149124295
242,0.16321337,0.148077369
243,0.16462116,0.146410406
244,0.164133848,0.144962043
245,0.164512869,0.143576235
246,0.166317727,0.143849313
247,0.164675306,0.14425543
248,0.165559687,0.144400954
249,0.166768942,0.144594103
250,0.166371873,0.144736201
251,0.165234812,0.145135224
252,0.164350431,0.145035714
253,0.164169945,0.144462734
254,0.164422626,0.143956155
255,0.165379201,0.143778622
256,0.165108472,0.144023329
257,0.163881168,0.144250751
258,0.163845071,0.144106984
259,0.163845071,0.14373824
260,0.164224091,0.143463612
261,0.162148504,0.143543422
262,0.161372415,0.143156707
263,0.163267516,0.142551929
264,0.166877234,0.142351717
265,0.167039671,0.14348039
266,0.165848464,0.144818008
267,0.166299679,0.145367682
268,0.171118651,0.145213634
269,0.170504999,0.146191955
270,0.168609898,0.147348374
271,0.168393315,0.147811323
272,0.168645995,0.147150755
273,0.168700141,0.146739006
274,0.169241598,0.14676711
275,0.168447461,0.146963596
276,0.168772335,0.146923751
277,0.168266975,0.146921128
278,0.167166011,0.146708727
279,0.168158683,0.146395624
280,0.169512327,0.146243751
281,0.169656716,0.146566719
282,0.171082554,0.147156715
283,0.168266975,0.147827983
284,0.16756308,0.147552043
285,0.168465509,0.146996826
286,0.170468902,0.146414489
287,0.172165469,0.146955401
288,0.170288416,0.14805609
289,0.170198173,0.148481458
290,0.169169404,0.148364335
291,0.169277696,0.147683114
292,0.169259647,0.147431403
293,0.169440133,0.147227347
294,0.170378659,0.147289276
295,0.171912789,0.147551656
296,0.170613291,0.148189306
297,0.174602029,0.148474842
298,0.179096127,0.149435967
299,0.170775728,0.151231527
300,0.174259106,0.151273727
301,0.178987835,0.151000798
302,0.1775259,0.151154697
303,0.176533227,0.152795553
304,0.173591308,0.153250456
305,0.176803956,0.151954889
306,0.180359528,0.151753724
307,0.183662419,0.152769864
308,0.183716565,0.155220509
309,0.183445836,0.156909287
310,0.183319496,0.157618493
311,0.181496589,0.157528937
312,0.181261957,0.156983674
313,0.179872216,0.156421065
314,0.177742483,0.155600786
315,0.178735155,0.154666394
316,0.176172256,0.154041588
317,0.177056636,0.153191566
318,0.174259106,0.152972281
319,0.171732303,0.151944458
320,0.172616684,0.150823265
321,0.173067899,0.149768591
322,0.173103996,0.149536431
323,0.173103996,0.14985615
324,0.172021081,0.149966031
325,0.17241815,0.149715751
326,0.171678158,0.149536699
327,0.17330253,0.149219632
328,0.173338628,0.14950797
329,0.173555211,0.149762124
330,0.172580587,0.150185674
331,0.171335234,0.150015712
332,0.170793777,0.149520665
333,0.169187453,0.148860902
334,0.170541097,0.14806813
335,0.171984984,0.147865623
336,0.173428871,0.148191273
337,0.171822546,0.149197638
338,0.170053785,0.149501145
339,0.165848464,0.148996443
340,0.166985525,0.147202343
341,0.159314876,0.146033019
342,0.160018771,0.143612176
343,0.160506082,0.142143846
344,0.160704617,0.140783101
345,0.161408512,0.14109686
346,0.161065589,0.141410261
347,0.159784139,0.141545177
348,0.158809515,0.141319394
349,0.157510017,0.140713125
350,0.157744649,0.139414102
351,0.158015377,0.138609797
352,0.157365628,0.13833636
353,0.155777353,0.138281256
354,0.154712486,0.137496978
355,0.15593979,0.136201024
356,0.157257337,0.135664999
357,0.158917807,0.136285633
358,0.15810562,0.137912244
359,0.158394398,0.138763368
360,0.156589539,0.139149189
361,0.158629029,0.138268054
362,0.153629571,0.138421923
363,0.154965166,0.13666755
364,0.154748583,0.135879636
365,0.155578818,0.134540975
366,0.155921741,0.135249257
367,0.155326138,0.135639459
368,0.152131538,0.135850012
369,0.153431036,0.134511918
370,0.153828105,0.13350597
371,0.153611522,0.133041054
372,0.154477854,0.133580655
373,0.153773959,0.133963346
374,0.153268599,0.133967757
375,0.150904234,0.133802176
376,0.144154063,0.132457227
377,0.141879941,0.128835917
378,0.142096524,0.124597996
379,0.141320435,0.121559948
380,0.142042378,0.120596498
381,0.14227701,0.120633155
382,0.144208208,0.120730162
383,0.144136014,0.121751577
384,0.142764322,0.122527808
385,0.140147276,0.122658879
386,0.140959463,0.121198744
387,0.139172653,0.120021582
388,0.138522904,0.118807048
389,0.138306321,0.11817351
390,0.137151211,0.117255807
391,0.134299534,0.116552621
392,0.134678555,0.115057081
393,0.135346352,0.113762856
394,0.136104393,0.113205343
395,0.137566329,0.113832712
396,0.137259503,0.114834428
397,0.139244847,0.115516752
398,0.139425333,0.11657995
399,0.138270223,0.117283911
400,0.140418005,0.117605805
401,0.137909252,0.117991656
402,0.137494134,0.117525816
403,0.137349746,0.117154181
404,0.138540952,0.116116673
405,0.140724831,0.116342664
406,0.141861892,0.11750862
407,0.143305779,0.119136304
408,0.142818467,0.120829344
409,0.145579901,0.121586978
410,0.146825254,0.122860014
411,0.145309172,0.124184251
412,0.141428726,0.125047028
413,0.143396022,0.123502195
414,0.146428185,0.122232586
415,0.147330614,0.122751564
416,0.148936938,0.124883085
417,0.151120817,0.126841784
418,0.149893513,0.128573924
419,0.15045302,0.129533142
420,0.149063278,0.130018979
421,0.14917157,0.129297346
422,0.146843302,0.12898761
423,0.14738476,0.127695262
424,0.148539869,0.127028555
425,0.147908169,0.12686038
426,0.146013067,0.127262354
427,0.143720897,0.126724482
428,0.143684799,0.124954313
429,0.144208208,0.123432845
430,0.146139407,0.122838229
431,0.14635599,0.123710603
432,0.155235895,0.124697655
433,0.150597408,0.128667742
434,0.151409595,0.130512536
435,0.147944266,0.132099122
436,0.150759846,0.129503757
437,0.156336859,0.129467607
438,0.153196405,0.131438673
439,0.150615457,0.133479774
440,0.151553983,0.13322863
441,0.1513374,0.131441355
442,0.15249251,0.130825669
443,0.151878858,0.131500691
444,0.154044688,0.131653458
445,0.154550049,0.132629961
446,0.155957839,0.133469969
447,0.155055409,0.134982795
448,0.156860268,0.135390341
449,0.155596867,0.13622281
450,0.152889579,0.136146963
451,0.146518428,0.135247201
452,0.149153521,0.131306261
453,0.151427643,0.128831118
454,0.150525214,0.12849021
455,0.147402808,0.129962921
456,0.149153521,0.129245877
457,0.152384218,0.128357887
458,0.153178356,0.129148781
459,0.151878858,0.131327808
460,0.152312024,0.132295847
461,0.158358301,0.132221282
462,0.155001263,0.134216577
463,0.153647619,0.135538399
464,0.153268599,0.135834962
465,0.153539328,0.133938074
466,0.155416381,0.133405805
467,0.156246616,0.134090632
468,0.155542721,0.13526246
469,0.155578818,0.136006713
470,0.155253944,0.136033714
471,0.156715879,0.135669887
472,0.157961232,0.136111349
473,0.156824171,0.137070209
474,0.157870989,0.137673438
475,0.156391005,0.138065845
476,0.154423709,0.137508154
477,0.154477854,0.136523247
478,0.155849547,0.13520959
479,0.165180666,0.13504836
480,0.168122586,0.139233261
481,0.166245533,0.143043309
482,0.167454788,0.145357966
483,0.169367938,0.145818591
484,0.169151355,0.146155715
485,0.16972891,0.146846861
486,0.170035736,0.147349983
487,0.170541097,0.147519082
488,0.170144028,0.147842824
489,0.169656716,0.147943527
490,0.169043064,0.147840559
491,0.169259647,0.147485942
492,0.168645995,0.147276074
493,0.168230878,0.1470505
494,0.166786991,0.146847248
495,0.166678699,0.146270156
496,0.167707469,0.145795107
497,0.168880627,0.145692885
498,0.170432805,0.146199286
499,0.172165469,0.147082329
500,0.170577194,0.148138911
501,0.171660109,0.148541778
502,0.1711367,0.148783565
503,0.172309858,0.148579359
504,0.172201567,0.148966581
505,0.176695665,0.149120152
506,0.175883478,0.150426298
507,0.177598094,0.151349813
508,0.17637079,0.152567983
509,0.176966394,0.152527183
510,0.176442985,0.152744114
511,0.176695665,0.152492911
512,0.176605422,0.152554482
513,0.176948345,0.152479172
514,0.176136159,0.152595907
515,0.175648847,0.152467191
516,0.176298596,0.152219146
517,0.176984442,0.152068049
